列01,列02,列03,列04,列05,列06,列07,列08,列09,列10,列11,列12,列13,列14,列15,列16,列17,列18,列19
2a85a525,501F6A,42.9272,17.5097,353,0,146,7776,F-LDDU2,GRND,,1643679052,,,,0,0,TXPKNVLE,0
2a9fda08,1002A9CB,52.1006,21.0013,89,403,1,0000,T-FLRM1,DRON,TEST4A,1643679013,,,,0,0,TEST4A,0
2aa37c37,10395004,-33.3779,-70.5792,43,2316,1,0000,T-FLRM1,GLID,STM32,1643679045,,,,0,0,STM32,0
2aa7b2e2,600020,40.1518,44.4045,320,0,278,0000,F-UDYZ3,GRND,,1643679047,,,,0,0,,0
2aa82ab9,EDBB08,48.5948,19.2684,349,1250,4,0000,T-FLRM1,GLID,OM-2709,1643679014,,,,0,0,OM2709,0
2aa8521d,A17EF7,39.7112,-86.2846,320,0,0,3330,F-KIND5,B763,N196FE,1643679053,OAK,IND,FX3620,1,0,FDX3620,0
2aa978ce,A0306C,37.7159,-122.2196,60,0,0,3353,F-KNGZ1,B763,N111FE,1643679052,IND,OAK,FX3720,1,0,FDX3720,0
2aa9b0ce,A173D2,37.7181,-122.2194,330,0,0,0753,F-KSJC2,B763,N193FE,1643679002,MEM,OAK,FX548,1,0,FDX548,0
2aa9e63b,555555,50.777,163.2159,225,3300,0,0000,F-UHPP10,0000,00000000,1643679049,,,,0,0,AVRORA,0
2aaa1d5d,DF0862,45.808,8.7722,146,770,0,0000,T-FLRM1,GLID,LILC,1643679052,,,,0,0,LILC,0
2aaa6609,A9D286,41.9763,-69.361,261,34000,451,6046,F-KHYA2,B77W,N732AN,1643679054,DEL,JFK,AA293,0,0,AAL293P,0
2aaa7e3c,101C2902,-33.3778,-70.5791,180,2378,1,0000,T-FLRM1,GLID,CC-TR21,1643679053,,,,0,0,CCTR21,0
2aaab7b8,4BA94E,33.967,-118.2554,262,2125,179,3334,F-KTOA1,B77W,TC-JJN,1643679053,IST,LAX,TK9,0,0,THY9,0
2aaacd27,7C806D,7.2451,121.8979,153,37000,466,3036,F-RPVO2,B789,VH-ZNJ,1643679052,LHR,DRW,QF10,0,64,QFA10,0
2aaacfc2,4BB18F,32.8725,-97.0332,345,0,12,3365,F-KDFW2,B789,TC-LLO,1643679054,IST,DFW,,1,0,THY83J,0
2aaad08b,7C806A,60.5674,34.047,249,37975,457,6701,F-ULSS5,B789,VH-ZNG,1643679052,DRW,LHR,QF1,0,0,QFA1,0
2aaad181,4BB0E3,-23.4285,-46.4714,253,0,12,2734,F-SBGR3,A359,TC-LGC,1643679055,IST,GRU,TK193,1,0,THY193,0
2aaad7c3,7C806B,33.3376,-118.4349,75,15800,382,6714,F-KLGB2,B789,VH-ZNH,1643679054,MEL,LAX,QF93,0,-832,QFA93,0
2aaae07b,781A4B,36.8271,115.3117,186,36100,431,7332,T-F6M,B77L,B-220F,1643679056,LAX,SZX,CK230,0,0,CKK230,0
2aaae450,39C422,25.2151,-94.6551,209,37975,438,2712,F-KBRO3,B789,F-HRBC,1643679054,CDG,MEX,AF174,0,64,AFR174,0
